JSON Field, UBL/XRechnung XML Path

# =========================
# HEADER FIELDS
# =========================
ublVersion, cbc:UBLVersionID
customizationId, cbc:CustomizationID
profileId, cbc:ProfileID
invoiceTypeCode, cbc:InvoiceTypeCode
invoiceNumber, cbc:ID
invoiceDate, cbc:IssueDate
dueDate, cbc:DueDate
taxPointDate, cbc:TaxPointDate
currency, cbc:DocumentCurrencyCode
notes, cbc:Note
accountingCost, cbc:AccountingCost

# Invoice Period
invoicePeriod.startDate, cac:InvoicePeriod/cbc:StartDate
invoicePeriod.endDate, cac:InvoicePeriod/cbc:EndDate

# Order Reference
orderReference.id, cac:OrderReference/cbc:ID

# Contract Reference
contractReference.id, cac:ContractDocumentReference/cbc:ID
contractReference.documentType, cac:ContractDocumentReference/cbc:DocumentType

# Additional Documents
additionalDocuments[].id, cac:AdditionalDocumentReference/cbc:ID
additionalDocuments[].documentType, cac:AdditionalDocumentReference/cbc:DocumentType
additionalDocuments[].uri, cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI
additionalDocuments[].embeddedBase64, cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject

# =========================
# SELLER PARTY
# =========================

seller.endpointId, cac:AccountingSupplierParty/cac:Party/cbc:EndpointID

seller.identifiers[].id, cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID
seller.identifiers[].schemeId, cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID

seller.name, cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name
seller.legalName, cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName

seller.vatNumber, cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID

seller.taxScheme.companyId, cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID
seller.taxScheme.schemeId, cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID/@schemeID
seller.taxScheme.taxSchemeId, cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID

seller.registration.registrationName, cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName
seller.registration.companyId, cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID

# Seller Address
seller.address.street, cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName
seller.address.additionalStreet, cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName
seller.address.postbox, cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:Postbox
seller.address.buildingNumber, cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:BuildingNumber
seller.address.department, cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:Department
seller.address.city, cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName
seller.address.postalCode, cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone
seller.address.countrySubentity, cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity
